Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2016-09-18,American Sniper,2014,https://boxd.it/biL4T,2,,,2015-10-17
2016-09-18,The Big Short,2015,https://boxd.it/biL7X,,,,2016-01-17
2016-03-27,Pulp Fiction,1994,https://boxd.it/969UF,5,,,2016-03-25
2016-03-27,Bridesmaids,2011,https://boxd.it/96a67,4,,,2016-03-25
2016-03-27,Hugo,2011,https://boxd.it/96a91,4,,,2016-03-25
2016-03-27,Star Wars: The Force Awakens,2015,https://boxd.it/969Gj,4.5,,,2016-03-26
2016-03-27,The Martian,2015,https://boxd.it/969Kl,4,,,2016-03-26
2016-03-27,The Room,2003,https://boxd.it/969LX,1,,,2016-03-26
2016-03-27,Room,2015,https://boxd.it/969ML,5,,,2016-03-26
2016-03-27,Shame,2011,https://boxd.it/96a4l,3.5,,,2016-03-26
2016-03-27,Super 8,2011,https://boxd.it/96a5t,3.5,,,2016-03-26
2016-03-27,Drive,2011,https://boxd.it/96a6V,4,,,2016-03-26
2016-03-27,50/50,2011,https://boxd.it/96ae1,4,,,2016-03-26
2016-09-18,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,2013,https://boxd.it/biL2t,3.5,,,2016-09-17
2016-11-26,90 Minutes in Heaven,2015,https://boxd.it/cgqkh,0.5,,,2016-11-26
2017-04-04,Warm Bodies,2013,https://boxd.it/g8HkX,3,,,2017-04-04
2017-08-29,Castle in the Sky,1986,https://boxd.it/jEFA1,4,,,2017-08-28
2018-03-17,D.E.B.S.,2004,https://boxd.it/pVRBt,2,,,2018-03-11
2018-04-02,Grosse Pointe Blank,1997,https://boxd.it/qy6wf,,,,2018-04-01
2018-05-26,How to Train Your Dragon,2010,https://boxd.it/soSdt,5,Yes,,2018-05-26
2018-08-12,The Last Man on Earth,1964,https://boxd.it/vdHR3,2.5,,,2018-08-11
2020-02-10,Mamma Mia!,2008,https://boxd.it/YYQHL,2.5,Yes,,2020-02-08
2020-06-21,Diablo Rojo PTY,2019,https://boxd.it/1d6Cfb,,,,2020-06-20
2020-07-19,Train to Busan,2016,https://boxd.it/1fXQk9,4,,,2020-07-18
2020-07-22,Blade,1998,https://boxd.it/1ggUa1,3,Yes,,2020-07-21
2020-07-25,Adventures in Babysitting,1987,https://boxd.it/1gBqrD,4,Yes,,2020-07-24
2020-10-15,Dr. Who and the Daleks,1965,https://boxd.it/1pbggp,3,,,2020-10-13
2020-10-15,Hocus Pocus,1993,https://boxd.it/1pbg6T,4.5,Yes,,2020-10-14
2020-10-25,Secrets Galore Behind the Gore,2004,https://boxd.it/1qfXjN,,Yes,,2020-10-24
2020-10-25,The Friday the 13th Chronicles,2004,https://boxd.it/1qfXCF,,Yes,,2020-10-24
2020-10-30,Salem's Lot,2004,https://boxd.it/1qPq4x,3.5,,,2020-10-29
2020-12-13,Fantastic Mr. Fox - Criterion Witch's Tree,,https://boxd.it/1vB4on,,,,2020-12-11
2021-01-10,Zombillenium,2017,https://boxd.it/1zOAeB,3,,,2021-01-09
2021-01-11,Fantasia,1940,https://boxd.it/1zWMNJ,4,,,2021-01-09
2021-01-17,Journey Through the Labyrinth,2007,https://boxd.it/1ASR3H,,Yes,,2021-01-14
2021-02-07,Judas and the Black Messiah,2021,https://boxd.it/1DZnff,4,,,2021-02-06
