
Date,Name,Tags,URL,Description
2018-07-26,Movies We Own,,https://boxd.it/1V3TM,

Position,Name,Year,URL,Description
1,(500) Days of Summer,2009,https://boxd.it/1EmM,Blu-Ray
2,10 Things I Hate About You,1999,https://boxd.it/23AO,DVD
3,12 Angry Men,1957,https://boxd.it/2auI,Criterion Blu-Ray
4,13 Ghosts,1960,https://boxd.it/1mL0,DVD
5,13 Going on 30,2004,https://boxd.it/1X6e,DVD
6,1776,1972,https://boxd.it/1N98,DVD
7,2001: A Space Odyssey,1968,https://boxd.it/2bf0,DVD
8,20th Century Women,2016,https://boxd.it/bqU6,Blu-Ray
9,21 Jump Street,2012,https://boxd.it/J0,Blu-Ray
10,22 Jump Street,2014,https://boxd.it/5Fvy,Blu-Ray/DVD
11,28 Days Later,2002,https://boxd.it/2aXU,DVD
12,The 39 Steps,1935,https://boxd.it/2aKc,Part of an Alfred Hitchcock DVD Collection
13,The 400 Blows,1959,https://boxd.it/2b1C,Criterion Blu-Ray
14,50/50,2011,https://boxd.it/10Tw,DVD
15,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve,DVD
16,Across the Universe,2007,https://boxd.it/23X4,DVD
17,Adventures in Babysitting,1987,https://boxd.it/1Ofc,DVD
18,The Adventures of André and Wally B.,1984,https://boxd.it/1P7I,Part of Pixar Short Collection Vol. 1 DVD
19,The Adventures of Chuy,2015,https://boxd.it/axRm,Included on Book of Life Blu-Ray
20,The Adventures of Ichabod and Mr. Toad,1949,https://boxd.it/1Q7E,"11th film in Disney Animated Canon
Blu-Ray/DVD"
21,The Adventures of Tintin,2011,https://boxd.it/1Irc,Blu-Ray
22,"Ah, L'Amour",1995,https://boxd.it/1h12,Part of Bitter Films Vol 1 DVD
23,Air Mater,2011,https://boxd.it/4CLc,Part of Pixar Short Collection Vol. 2 DVD
24,Airplane!,1980,https://boxd.it/29yu,DVD
25,Akira,1988,https://boxd.it/2b1i,DVD
26,Aladdin,1992,https://boxd.it/29yE,"31st film in Disney Animated Canon
Blu-Ray/DVD"
27,Alice in Wonderland,1951,https://boxd.it/1Sz6,"13th film in Disney Animated Canon
Blu-Ray/DVD"
28,Alien,1979,https://boxd.it/2awY,Blu-Ray
29,Aliens,1986,https://boxd.it/29PA,Blu-Ray
30,All at Sea,1933,https://boxd.it/4f5s,Included on Chaplin DVD
31,All Dogs Go to Heaven,1989,https://boxd.it/1TIo,DVD
32,All Monsters Attack,1969,https://boxd.it/13Co,"The DVD is titled Godzilla's Revenge, for some reason."
33,All That Jazz,1979,https://boxd.it/1JB8,Criterion Blu-Ray
34,All the King's Men,1949,https://boxd.it/1vQI,DVD
35,Almost Famous,2000,https://boxd.it/29CQ,Blu-Ray
36,American Hustle,2013,https://boxd.it/5dz8,DVD
37,American Pie,1999,https://boxd.it/27qy,Part of a 3-Movie DVD set
38,American Pie 2,2001,https://boxd.it/26kO,Part of a 3-Movie DVD set
39,American Wedding,2003,https://boxd.it/20r0,Part of a 3-Movie DVD set
40,An American Werewolf in London,1981,https://boxd.it/29yk,DVD
41,Amélie,2001,https://boxd.it/2aUc,DVD
42,Angels in the Outfield,1994,https://boxd.it/1wYo,DVD
43,The Animatrix,2003,https://boxd.it/qH0,Part of a 4-movie Matrix Blu-Ray set
44,"Another Day, Another Time: Celebrating the Music of ""Inside Llewyn Davis""",2013,https://boxd.it/7894,Included on the Inside Llewyn Davis Criterion Blu-Ray
45,The Apartment,1960,https://boxd.it/2aGE,DVD
46,Apocalypse Now,1979,https://boxd.it/6ZS,DVD
47,Argo,2012,https://boxd.it/2czU,Blu-Ray/DVD
48,The Aristocats,1970,https://boxd.it/1X3Y,"20th film in Disney Animated Canon
Blu-Ray/DVD"
49,Army of Darkness,1992,https://boxd.it/29G4,"DVD 
Bruce Campbell  vs. the Army of Darkness DVD"
50,Arrival,2016,https://boxd.it/aNGk,Blu-Ray
51,The Artist,2011,https://boxd.it/2AwK,DVD
52,Assassination of a High School President,2008,https://boxd.it/1Hrg,DVD
53,Attack of the 50 Ft. Woman,1993,https://boxd.it/2Az0,DVD
54,Attack the Block,2011,https://boxd.it/hFO,Blu-Ray
55,The Avengers,2012,https://boxd.it/1xFW,"6th film in the Marvel Cinematic Universe
Blu-Ray/DVD"
56,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,"11th film in the Marvel Cinematic Universe
Blu-Ray"
57,Back to the Future,1985,https://boxd.it/2b8e,Part of a 3-movie Back to the Future DVD set
58,Back to the Future Part II,1989,https://boxd.it/2aYI,Part of a 3-movie Back to the Future DVD set
59,Back to the Future Part III,1990,https://boxd.it/2aTS,Part of a 3-movie Back to the Future DVD set
60,Bajrangi Bhaijaan,2015,https://boxd.it/bIbo,Blu-Ray
61,Bambi,1942,https://boxd.it/25AQ,"5th film in Disney Animated Canon
Blu-Ray/DVD"
62,Bambi II,2006,https://boxd.it/1QAQ,Blu-Ray/DVD
63,The Band Concert,1935,https://boxd.it/2ftq,Included on Make Mine Music DVD
64,Band of Brothers,2001,https://boxd.it/aRNY,DVD
65,Bath Day,1946,https://boxd.it/47hK,Included on the Aristocats Blu-Ray
66,Batman,1989,https://boxd.it/2aIU,Steelbook Blu-Ray
67,Batman Begins,2005,https://boxd.it/2aIg,Steelbook Blu-Ray
68,Batman Forever,1995,https://boxd.it/2ara,Blu-Ray
69,Batman Returns,1992,https://boxd.it/2awa,DVD
70,Battle Royale,2000,https://boxd.it/25zS,"DVD (says Region-3 Chinese, but I think it's actually Region-Free since it plays on Region 1 players)"
71,Beasts of the Southern Wild,2012,https://boxd.it/2XPK,Blu-Ray/DVD
