
Date,Name,Tags,URL,Description
2018-03-23,Movies We Own ,,https://boxd.it/1DOpy,

Position,Name,Year,URL,Description
1,(500) Days of Summer,2009,https://boxd.it/1EmM,Blu-Ray
2,10 Things I Hate About You,1999,https://boxd.it/23AO,DVD
3,12 Angry Men,1957,https://boxd.it/2auI,Criterion Blu-Ray
4,13 Ghosts,1960,https://boxd.it/1mL0,DVD
5,13 Going on 30,2004,https://boxd.it/1X6e,DVD
6,1776,1972,https://boxd.it/1N98,DVD
7,2001: A Space Odyssey,1968,https://boxd.it/2bf0,DVD
8,20th Century Women,2016,https://boxd.it/bqU6,Blu-Ray
9,21 Jump Street,2012,https://boxd.it/J0,Blu-Ray
10,22 Jump Street,2014,https://boxd.it/5Fvy,Blu-Ray/DVD
11,28 Days Later,2002,https://boxd.it/2aXU,DVD
12,The 39 Steps,1935,https://boxd.it/2aKc,Part of an Alfred Hitchcock DVD Collection
13,The 400 Blows,1959,https://boxd.it/2b1C,Criterion Blu-Ray
14,50/50,2011,https://boxd.it/10Tw,DVD
15,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve,DVD
16,About a Boy,2002,https://boxd.it/2aMC,DVD
17,Accepted,2006,https://boxd.it/1XO6,DVD
18,Across the Universe,2007,https://boxd.it/23X4,DVD
19,Adventures in Babysitting,1987,https://boxd.it/1Ofc,DVD
20,The Adventures of André and Wally B.,1984,https://boxd.it/1P7I,Part of Pixar Short Collection Vol. 1 DVD
21,The Adventures of Chuy,2015,https://boxd.it/axRm,Included on Book of Life Blu-Ray
22,The Adventures of Ichabod and Mr. Toad,1949,https://boxd.it/1Q7E,"11th film in Disney Animated Canon
Blu-Ray/DVD"
23,"Ah, L'Amour",1995,https://boxd.it/1h12,Part of Bitter Films Vol 1 DVD
24,Air Mater,2011,https://boxd.it/4CLc,Part of Pixar Short Collection Vol. 2 DVD
25,Airplane!,1980,https://boxd.it/29yu,DVD
26,Akira,1988,https://boxd.it/2b1i,DVD
27,Aladdin,1992,https://boxd.it/29yE,"31st film in Disney Animated Canon
Blu-Ray/DVD"
28,Alice in Wonderland,1951,https://boxd.it/1Sz6,"13th film in Disney Animated Canon
Blu-Ray/DVD"
29,Alien,1979,https://boxd.it/2awY,Blu-Ray
30,Aliens,1986,https://boxd.it/29PA,Blu-Ray
31,All at Sea,1933,https://boxd.it/4f5s,Included on Chaplin DVD
32,All Dogs Go to Heaven,1989,https://boxd.it/1TIo,DVD
33,All Monsters Attack,1969,https://boxd.it/13Co,"The DVD is titled Godzilla's Revenge, for some reason."
