Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-10-16,Brave,2012,https://boxd.it/kTcBN,3,,,2012-07-20
2017-10-16,The Dark Knight Rises,2012,https://boxd.it/kTcFb,4,,,2012-07-27
2017-10-16,The Master,2012,https://boxd.it/kTcNp,3,,,2012-09-30
2017-10-16,Skyfall,2012,https://boxd.it/kTcIJ,4,,,2012-11-09
2017-10-16,Seven Psychopaths,2012,https://boxd.it/kTcLD,3.5,,,2012-11-11
2017-10-16,Wreck-It Ralph,2012,https://boxd.it/kTcOR,4.5,,,2012-11-23
2017-10-16,The Hobbit: An Unexpected Journey,2012,https://boxd.it/kTcRB,3,,,2012-12-14
2017-10-16,Django Unchained,2012,https://boxd.it/kTcTd,4,,,2012-12-27
2017-10-16,American Hustle,2013,https://boxd.it/kTcWh,2.5,,,2014-01-02
2017-10-16,The Hobbit: The Desolation of Smaug,2013,https://boxd.it/kTd25,3,,,2014-01-03
2017-10-16,Inside Llewyn Davis,2013,https://boxd.it/kTd4F,4,,,2014-01-15
2017-10-16,The Lego Movie,2014,https://boxd.it/kTd5j,4.5,,,2014-02-09
2017-10-16,The Wolf of Wall Street,2013,https://boxd.it/kTdgr,2,,,2014-02-13
2017-10-16,Frozen,2013,https://boxd.it/kTdlV,4,,,2014-02-22
2017-10-16,Nebraska,2013,https://boxd.it/kTdoP,3.5,,,2014-02-24
2017-10-16,The Wind Rises,2013,https://boxd.it/kTdrp,3,,,2014-03-01
2017-10-16,The Grand Budapest Hotel,2014,https://boxd.it/kTdut,4,,,2014-03-26
2017-10-16,Captain America: The Winter Soldier,2014,https://boxd.it/kTdxx,4,,,2014-04-10
2017-10-16,The Amazing Spider-Man 2,2014,https://boxd.it/kTdyv,1,,,2014-05-03
2017-10-16,X-Men: Days of Future Past,2014,https://boxd.it/kTdCn,4,,,2014-05-27
2017-10-16,How to Train Your Dragon 2,2014,https://boxd.it/kTdDP,4.5,,,2014-06-29
2017-10-16,How to Train Your Dragon 2,2014,https://boxd.it/kTdFL,4.5,Yes,,2014-07-03
2017-10-16,Guardians of the Galaxy,2014,https://boxd.it/kTdI1,4.5,,,2014-07-31
2017-10-16,Guardians of the Galaxy,2014,https://boxd.it/kTdJD,4.5,Yes,,2014-08-16
2017-10-16,The Boxtrolls,2014,https://boxd.it/kTdM3,4,,,2014-09-26
2017-10-16,Interstellar,2014,https://boxd.it/kTdWx,3.5,,,2014-12-04
2017-10-16,Big Hero 6,2014,https://boxd.it/kTe05,3.5,,,2014-12-05
2017-10-16,The Hunger Games: Mockingjay - Part 1,2014,https://boxd.it/kTe39,2,,,2014-12-07
2017-10-16,The Book of Life,2014,https://boxd.it/kTe5J,5,Yes,,2015-01-15
2017-10-16,The Imitation Game,2014,https://boxd.it/kTe9r,3.5,,,2015-01-31
2017-10-16,American Sniper,2014,https://boxd.it/kTeaJ,2,,,2015-02-10
2017-10-16,Kingsman: The Secret Service,2014,https://boxd.it/kTefJ,4,,,2015-02-27
2017-10-16,Cinderella,2015,https://boxd.it/kTnz9,3,,,2015-04-06
2017-10-16,It Follows,2014,https://boxd.it/kTnAV,4,,,2015-04-08
