
Date,Name,Tags,URL,Description
2020-07-02,Astaire and Rogers,,https://boxd.it/5SvwG,

Position,Name,Year,URL,Description
1,Flying Down to Rio,1933,https://boxd.it/2lhK,
2,The Gay Divorcee,1934,https://boxd.it/2lio,
3,Roberta,1935,https://boxd.it/1iiS,
4,Top Hat,1935,https://boxd.it/25MW,
5,Follow the Fleet,1936,https://boxd.it/2lhU,
6,Swing Time,1936,https://boxd.it/1DGw,
7,Shall We Dance,1937,https://boxd.it/1iTk,
8,Carefree,1938,https://boxd.it/1mu4,
9,The Story of Vernon and Irene Castle,1939,https://boxd.it/1GxM,
10,The Barkleys of Broadway,1949,https://boxd.it/1mrY,
