
Date,Name,Tags,URL,Description
2019-04-28,Autostraddle's RE-REVISED 120 Best Lesbian Movies,"lesbian, wlw, autostraddle, bi, gay",https://boxd.it/2StyS,"Original article <a href=""https://www.autostraddle.com/new-and-revised-the-103-best-lesbian-movies-of-all-time-368953/?all=1"" rel=""nofollow"">here</a>. All credit goes to the Autostraddle team, whose comments are in the notes.

*** Updated as of July 20-gayteen. The title says 120, but there's no #78 on their current list ***

V serious note: if you like this list, please click through to Autostraddle and click on some ads to send them a few cents. Buy some merch. Memberships start at just $4 a month, and are the main thing keeping them afloat. Support wlw culture and independent queer media!! 🙏🙏🙏"

Position,Name,Year,URL,Description
1,But I'm a Cheerleader,1999,https://boxd.it/1CW4,"""We’re surprised that the critics didn’t fall for this charming, campy, smart and timeless lesbian movie because we sure did. But I’m a Cheerleader is so many things: a cute love story, an exploration of the coming out experience, a delightfully wacky take on the real-life horrors of gay conversion therapy and, above all, hilarious. It’s also legendary for its battle with the MPAA, who wanted to slap an NC-17 on the film ’cause apparently girl-on-girl culture and female masturbation are downright obscene. After a few rounds of edits, it earned an R, hit movie theaters, and began its legendary claim on our hearts."""
2,Carol,2015,https://boxd.it/7DPK,"""It’s based on Patricia Highsmith’s novel The Price of Salt, and the only reason it didn’t win the Academy Award for Best Picture is because it doesn’t focus on the feelings or pleasure of one single man for one single second. Waterloo!"""
3,Saving Face,2004,https://boxd.it/1Fj0,"""A multi-generational romantic comedy about a lesbian surgeon and her pregnant, unwed mother trying to find the courage to follow their hearts instead of their family’s expectations. There is nothing to dislike about this movie and if you haven’t seen it, you should remedy that immediately."""
4,Circumstance,2011,https://boxd.it/g4i,"""In Tehran, Atafeh and her orphaned best friend, Shireen, fall in love, despite her brother’s growing obsession with Shireen and the religious beliefs of her family. This story is full of youth but also sexuality, and family and rules and an underworld where people can be who they are. The two girls at the center are being torn really strongly in a few directions, sometimes almost violently so, but can’t seem to untangle from each other or from their familial obligations."""
5,Show Me Love,1998,https://boxd.it/1TmW,"""In the small town of Amal, Sweden, two girls with very different personalities find that they have a pretty big thing in common. (Spoiler alert: It’s liking girls.) Elin is a popular, social butterfly. Agnes is an openly gay depressed recluse. The two of them decide to take a five-hour ride to Stockholm to solve all their problems, and fall in love along the way."""
6,Pariah,2011,https://boxd.it/2wWk,"""Despite violent opposition from her mother, who wants her daughter to dress femininely and be straight, 17-year-old Alike prefers to express herself with androgynous clothes and liking girls. When her mother refuses to accept her, she has to choose between staying and trying to gain her mother’s approval or leaving for college early to start a new life."""
7,Freeheld,2015,https://boxd.it/9OzM,"""This tearjerker tells the true story of Laurel Hester, a New Jersey police detective diagnosed with cancer who is prohibited from leaving her pension to her domestic partner, car mechanic Stacie. They take their case to court, struggle for equality, and look real cute together."""
