
Date,Name,Tags,URL,Description
2017-05-05,DreamWorks Animation Ranked,allstats,https://boxd.it/14qH4,Of the DreamWork Animation movie I have seen.

Position,Name,Year,URL,Description
1,How to Train Your Dragon,2010,https://boxd.it/1WRy,
2,Megamind,2010,https://boxd.it/16Sk,
3,How to Train Your Dragon 2,2014,https://boxd.it/2TRW,
4,How to Train Your Dragon: The Hidden World,2019,https://boxd.it/5a9w,
5,The Prince of Egypt,1998,https://boxd.it/1XGQ,
6,Joseph: King of Dreams,2000,https://boxd.it/1KfM,
7,Shrek,2001,https://boxd.it/29zi,
8,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://boxd.it/2ac0,
9,Kung Fu Panda,2008,https://boxd.it/1Yws,
10,The Road to El Dorado,2000,https://boxd.it/1W6s,
11,Shrek 2,2004,https://boxd.it/29z8,
12,Flushed Away,2006,https://boxd.it/1Tpm,
13,Chicken Run,2000,https://boxd.it/20Xg,
14,Madagascar,2005,https://boxd.it/29dc,
15,Spirit: Stallion of the Cimarron,2002,https://boxd.it/1Zmo,
16,Mr. Peabody & Sherman,2014,https://boxd.it/2TRM,
17,Rise of the Guardians,2012,https://boxd.it/2PXw,
18,Monsters vs Aliens,2009,https://boxd.it/1M50,
19,Trolls,2016,https://boxd.it/4p8Q,
20,Madagascar: Escape 2 Africa,2008,https://boxd.it/1W2K,
21,Shark Tale,2004,https://boxd.it/1VYe,
22,Antz,1998,https://boxd.it/1ZB4,
23,Shrek the Third,2007,https://boxd.it/29yY,
24,Over the Hedge,2006,https://boxd.it/20QY,
25,Home,2015,https://boxd.it/6JxA,
26,Madagascar 3: Europe's Most Wanted,2012,https://boxd.it/2NF6,
27,The Croods,2013,https://boxd.it/FRE,
28,Bee Movie,2007,https://boxd.it/22Vw,
29,Shrek Forever After,2010,https://boxd.it/1WRo,
