
Date,Name,Tags,URL,Description
2019-03-17,LGBTQIA,"lgbt, lesbian, bisexual, transgender, gay, queer, transsexual, drag, intersex, questioning, character, characters, characteristic, sexuality, gender identity, asexual, bigender, third gender, non-binary, gender non-conforming, aromantic, agender, pansexual, showdown:pride",https://boxd.it/2INdU,"Films with any lesbian, gay, bisexual, transgender, queer, intersex, asexual, pansexual, agender, aromantic, questioning, bigender, third gender, queer, non-binary, or otherwise not cisgender or heterosexual content. Or directors/performers where noteworthy. Not necessarily explicit nor even positive depictions; I merely have to have a more or less positive view of the film overall.

Includes films I or others have drawn queer or trans readings from without explicit trans or queer content, but as always, I will be the judge of that.

Not in database: <i>V.O.</i> (4.5)"

Position,Name,Year,URL,Description
1,Something Must Break,2014,https://boxd.it/7jBe,
2,The Watermelon Woman,1996,https://boxd.it/RRc,
3,Mädchen in Uniform,1931,https://boxd.it/1Y8g,
4,Funeral Parade of Roses,1969,https://boxd.it/28Cg,
5,Sink or Swim,1990,https://boxd.it/44PE,
6,This Little Light,2018,https://boxd.it/k8vq,
7,Hide and Seek,1996,https://boxd.it/3mcy,
8,The Long Day Closes,1992,https://boxd.it/EMy,
9,The Celluloid Closet,1995,https://boxd.it/1gWw,
10,Je Tu Il Elle,1974,https://boxd.it/3gWK,
11,Looking for Langston,1989,https://boxd.it/1hfe,
12,History Lessons,2000,https://boxd.it/64m2,
13,Her Story,2016,https://boxd.it/dprQ,
14,Show Me Love,1998,https://boxd.it/1TmW,
15,Pariah,2011,https://boxd.it/2wWk,
16,Nitrate Kisses,1992,https://boxd.it/54hO,
17,Moonlight,2016,https://boxd.it/d6bE,
18,Bambi,2013,https://boxd.it/5iHm,
19,Portrait of Jason,1967,https://boxd.it/2Vaq,
20,A Fan,1968,https://boxd.it/72Ha,
21,Damned If You Don't,1987,https://boxd.it/4Zvw,
22,"Goodbye, Dragon Inn",2003,https://boxd.it/oFG,
23,Blood Below the Skin,2015,https://boxd.it/aZQw,
24,StageFright: Aquarius,1987,https://boxd.it/1Drm,
25,Strangers in Good Company,1990,https://boxd.it/44PO,
26,Desert Hearts,1985,https://boxd.it/2aFc,
27,When Night Is Falling,1995,https://boxd.it/20eK,
28,The Dark Side of Tomorrow,1970,https://boxd.it/3wK6,
29,Tangerine,2015,https://boxd.it/9QRe,
30,Flaming Creatures,1963,https://boxd.it/Luc,
31,Weekend,2011,https://boxd.it/2Kzu,
32,Love & Human Remains,1993,https://boxd.it/1LDq,
33,Fish and Elephant,2001,https://boxd.it/7tQy,
34,Blue,1993,https://boxd.it/3iyA,
35,Undertow,2009,https://boxd.it/y6Q,
36,All Over Me,1997,https://boxd.it/1RdI,
37,Tongues Untied,1989,https://boxd.it/3m1g,
38,Man's Favorite Sport?,1964,https://boxd.it/14aU,
39,Muscle,1989,https://boxd.it/FGm,
40,But I'm a Cheerleader,1999,https://boxd.it/1CW4,
41,Pride,2014,https://boxd.it/6TwM,
42,Dyketactics,1974,https://boxd.it/7ERM,
43,Thelma & Louise,1991,https://boxd.it/28Ew,
44,The Children's Hour,1961,https://boxd.it/1DZI,
45,Paris Is Burning,1990,https://boxd.it/1jzg,
46,2 Seconds,1998,https://boxd.it/c86,
47,In a Year with 13 Moons,1978,https://boxd.it/Xt6,
48,Personal Best,1982,https://boxd.it/1rpo,
49,Young Soul Rebels,1991,https://boxd.it/1ikY,
50,Cold Breath,2017,https://boxd.it/hjaM,
51,Working Girls,1986,https://boxd.it/3kYA,
52,My Beautiful Laundrette,1985,https://boxd.it/1UhI,
53,Cabaret,1972,https://boxd.it/1Vpe,
54,The Living Dead Girl,1982,https://boxd.it/2F6M,
55,The Blood Spattered Bride,1972,https://boxd.it/11Z6,
56,Symptoms,1974,https://boxd.it/3IcA,
57,Hookers on Davie,1984,https://boxd.it/5wAE,
58,There Is a Spider Living Between Us,2009,https://boxd.it/iyBg,
59,Rock Hudson's Home Movies,1992,https://boxd.it/45ho,
60,The Ballad of Genesis and Lady Jaye,2011,https://boxd.it/2QDi,
61,Kamikaze Hearts,1986,https://boxd.it/6pQ8,
62,Michael,1924,https://boxd.it/rtI,
63,Pink Narcissus,1971,https://boxd.it/WKU,
64,Beau Travail,1999,https://boxd.it/1NI8,
65,Dancing in Dulais,1986,https://boxd.it/99iU,
66,Face,2009,https://boxd.it/wng,
67,Lola and Billy the Kid,1999,https://boxd.it/53Oi,
68,Certain Women,2016,https://boxd.it/bk7W,
69,Pixote,1981,https://boxd.it/XCs,
70,My Own Private Idaho,1991,https://boxd.it/2ak4,
71,Better Than Chocolate,1999,https://boxd.it/1HmA,
72,Vive L'Amour,1994,https://boxd.it/2wsa,
73,The Lickerish Quartet,1970,https://boxd.it/2tz8,
74,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,
75,The Punk Singer,2013,https://boxd.it/5sk8,
76,Glitterbug,1994,https://boxd.it/4vbQ,
77,The Story of O,1975,https://boxd.it/246U,
78,The Last Summer of La Boyita,2009,https://boxd.it/mA0,
79,Seconds,1966,https://boxd.it/1Dbe,
80,The Bitter Tears of Petra von Kant,1972,https://boxd.it/1WzE,
81,Reality Bites,1994,https://boxd.it/26iI,
82,Alucarda,1977,https://boxd.it/12xs,
83,Bayou Maharajah: The Tragic Genius of James Booker,2013,https://boxd.it/5qWE,
84,I Don't Want to Sleep Alone,2006,https://boxd.it/1St8,
85,Rebel Without a Cause,1955,https://boxd.it/2aQu,
86,Picnic at Hanging Rock,1975,https://boxd.it/1UQe,
87,The Student Nurses,1970,https://boxd.it/32Rm,
88,The Silence,1963,https://boxd.it/1TH6,
89,A Journey to Avebury,1971,https://boxd.it/40OW,
90,The Fan,1982,https://boxd.it/3zkA,
91,An Early Frost,1985,https://boxd.it/2ZBq,
92,Superstar: The Karen Carpenter Story,1988,https://boxd.it/28Rq,
93,Starstruck,1982,https://boxd.it/G7M,
94,Drunktown's Finest,2014,https://boxd.it/7hqI,
95,Strawberry and Chocolate,1993,https://boxd.it/1RMS,
96,Lemonade Served Bitter Sweet,2016,https://boxd.it/ekcI,
97,Normal Love,1964,https://boxd.it/496k,
98,In a Heartbeat,2017,https://boxd.it/ggzW,
99,Go Fish,1994,https://boxd.it/1GBu,
100,Lianna,1983,https://boxd.it/2I5i,
101,Forever Fever,1998,https://boxd.it/R32,
102,Confessions,1972,https://boxd.it/aZQm,
103,"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean",1982,https://boxd.it/2eXY,
104,Parting Glances,1986,https://boxd.it/1h9A,
105,Esteros,2016,https://boxd.it/eN1u,
106,"Doctors, Liars, and Women: AIDS Activists Say No to Cosmo",1988,https://boxd.it/8ENC,
107,The Potluck and the Passion,1993,https://boxd.it/fmZO,
108,Stranger by the Lake,2013,https://boxd.it/5Fji,
109,Rules of the Road,1993,https://boxd.it/5JY0,
110,Jennifer's Body,2009,https://boxd.it/1Efw,
111,MURDER and murder,1996,https://boxd.it/emso,
112,I've Heard the Mermaids Singing,1987,https://boxd.it/3TQc,
113,Querelle,1982,https://boxd.it/XEy,
114,The Witch Who Came from the Sea,1976,https://boxd.it/v2w,
115,Double Strength,1978,https://boxd.it/8Ipa,
116,Me and Rubyfruit,1989,https://boxd.it/53KA,
117,Broken Mirrors,1984,https://boxd.it/6nUW,
118,Maurice,1987,https://boxd.it/1tZy,
119,Velvet Goldmine,1998,https://boxd.it/2878,
120,Desperate Living,1977,https://boxd.it/1Or8,
121,Seams,1993,https://boxd.it/7FF8,
122,Positive,1990,https://boxd.it/8uLc,
123,Menses,1974,https://boxd.it/6AIY,
124,Score,1974,https://boxd.it/2jok,
125,The Geography of the Body,1943,https://boxd.it/KFy,
126,Apricot Groves,2017,https://boxd.it/gp1E,
127,Girls Lost,2015,https://boxd.it/c2YK,
