
Date,Name,Tags,URL,Description
2018-07-03,Movies to watch then get rid off,,https://boxd.it/1ROty,

Position,Name,Year,URL,Description
1,Incident On and Off a Mountain Road,2005,https://boxd.it/al7w,
2,The Land Before Time,1988,https://boxd.it/1Sr2,
3,The Pit and the Pendulum,1961,https://boxd.it/1prM,Check correct movie
4,Blood Surf,2000,https://boxd.it/1pNS,
5,THX 1138,1971,https://boxd.it/29Ww,
6,The Ghost & Mr. Chicken,1966,https://boxd.it/1QnC,
7,The Howling,1981,https://boxd.it/1Uce,Check correct movie
8,Octopus 2: River of Fear,2001,https://boxd.it/XwY,
9,The Return of the Living Dead,1985,https://boxd.it/1V3W,
10,Crocodile,2000,https://boxd.it/11J8,Check correct movie
11,The Warriors,1979,https://boxd.it/1TLC,
12,Cruel Intentions,1999,https://boxd.it/29Be,
13,Hero,2002,https://boxd.it/2bcq,Check correct movie
14,Village of the Damned,1995,https://boxd.it/1Suq,Check correct movie
15,Virus,1999,https://boxd.it/1YII,
16,Waking Life,2001,https://boxd.it/1Zdc,
17,The Artist,2011,https://boxd.it/2AwK,
18,About a Boy,2002,https://boxd.it/2aMC,
19,Unleashed,2005,https://boxd.it/1Xgy,Check correct movie
20,No Reservations,2007,https://boxd.it/256w,
21,Mostly Martha,2001,https://boxd.it/256m,
22,Romancing the Stone,1984,https://boxd.it/1YXS,
23,All the King's Men,1949,https://boxd.it/1vQI,Check correct movie
24,Law Abiding Citizen,2009,https://boxd.it/1A2I,
25,Freeway,1996,https://boxd.it/1Uju,Check correct movie
26,Léon: The Professional,1994,https://boxd.it/2b8S,
27,Lethal Weapon,1987,https://boxd.it/29e0,
28,Flash Gordon,1980,https://boxd.it/257a,Check correct movie
29,Mutant Chronicles,2008,https://boxd.it/1QwE,
30,Panic Room,2002,https://boxd.it/2490,
31,Day Watch,2006,https://boxd.it/272G,
32,Night Watch,2004,https://boxd.it/25SK,
33,Flatliners,1990,https://boxd.it/28D4,
34,Knowing,2009,https://boxd.it/1Pmy,
35,Lord of War,2005,https://boxd.it/284y,
36,The Jackal,1997,https://boxd.it/23MA,Check correct movie
37,Prometheus,2012,https://boxd.it/2s9e,
38,Crank,2006,https://boxd.it/27MY,
39,Crank: High Voltage,2009,https://boxd.it/1MPs,
40,Midway,1976,https://boxd.it/1TSy,Check correct movie
41,The Outlaw Josey Wales,1976,https://boxd.it/1VuS,
42,Dune,1984,https://boxd.it/29tY,Check correct movie
43,Chaplin,1992,https://boxd.it/1WgW,Check correct movie
44,Lightning Bug,2004,https://boxd.it/1fri,
45,Das Boot,1981,https://boxd.it/2av2,
46,Catch-22,1970,https://boxd.it/1WrK,
47,Killjoy,2000,https://boxd.it/1r9g,
48,Lethal Weapon 2,1989,https://boxd.it/29dQ,
49,Lethal Weapon 3,1992,https://boxd.it/29dG,
50,Lethal Weapon 4,1998,https://boxd.it/29dw,
51,Paranormal Activity,2007,https://boxd.it/1yIM,
52,The Town,2010,https://boxd.it/1zyS,
