
Date,Name,Tags,URL,Description
2020-11-16,Movies We Own (112020),own,https://boxd.it/9Bdny,

Position,Name,Year,URL,Description
1,'Rear Window' Ethics: Remembering and Restoring a Hitchcock Classic,2001,https://boxd.it/5Icu,Included on Rear Window Blu-Ray as part of the Alfred Hitchcock: The Masterpiece Blu-Ray Collection
2,'Topaz': An Appreciation by Film Critic/Historian Leonard Maltin,2001,https://boxd.it/iY14,Included on Topaz Blu-Ray as part of the Alfred Hitchcock: The Masterpiece Blu-Ray Collection
3,'Torn Curtain' Rising,2000,https://boxd.it/8xl2,Included on Torn Curtain Blu-Ray as part of the Alfred Hitchcock: The Masterpiece Blu-Ray Collection
4,(500) Days of Summer,2009,https://boxd.it/1EmM,Blu-Ray
5,12 Angry Men,1957,https://boxd.it/2auI,Criterion Blu-Ray
6,13 Ghosts,1960,https://boxd.it/1mL0,DVD
7,13 Going on 30,2004,https://boxd.it/1X6e,DVD
8,1776,1972,https://boxd.it/1N98,DVD
9,2001: A Space Odyssey,1968,https://boxd.it/2bf0,Blu-Ray
10,20th Century Women,2016,https://boxd.it/bqU6,Blu-Ray
11,21 Jump Street,2012,https://boxd.it/J0,Blu-Ray
12,22 Jump Street,2014,https://boxd.it/5Fvy,Blu-Ray/DVD
13,28 Days Later,2002,https://boxd.it/2aXU,Blu-Ray
14,3 Ninjas,1992,https://boxd.it/1KmI,DVD
15,3 Ninjas Kick Back,1994,https://boxd.it/1G8i,Part of 3 Ninjas Trilogy DVD Collection (Region-4)
16,3 Ninjas Knuckle Up,1994,https://boxd.it/11CG,Part of 3 Ninjas Trilogy DVD Collection (Region-4)
17,3 Ninjas: High Noon at Mega Mountain,1998,https://boxd.it/1hjq,Part of 3 Ninjas Trilogy DVD Collection (Region-4)
18,The 39 Steps,1935,https://boxd.it/2aKc,Criterion Blu-Ray
19,The 400 Blows,1959,https://boxd.it/2b1C,Criterion Blu-Ray
20,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve,Blu-Ray
21,Abominable,2019,https://boxd.it/fiPq,Blu-Ray/DVD
22,Addams Family Values,1993,https://boxd.it/26mq,Part of a 2-movie Addams Family Blu-Ray set
23,The Addams Family,1991,https://boxd.it/267g,Part of a 2-movie Addams Family Blu-Ray set
24,Adventures in Babysitting,1987,https://boxd.it/1Ofc,DVD
25,The Adventures of Chuy,2015,https://boxd.it/axRm,Included on Book of Life Blu-Ray
26,The Adventures of Ichabod and Mr. Toad,1949,https://boxd.it/1Q7E,"11th film in Disney Animated Canon
Blu-Ray/DVD"
27,The Adventures of Tintin,2011,https://boxd.it/1Irc,Blu-Ray
28,Africa Before Dark,1928,https://boxd.it/arzm,Included on Bambi Blu-Ray
29,After You've Gone,1946,https://boxd.it/bHNm,Part of the Make Mine Music feature film
30,"Ah, L'Amour",1995,https://boxd.it/1h12,Part of Bitter Films Vol 1 DVD
31,Airplane!,1980,https://boxd.it/29yu,Blu-Ray
32,Akira Kurosawa: It Is Wonderful to Create,2002,https://boxd.it/erqM,Included on The Hidden Fortress Criterion Blu-Ray
33,Aladdin,1992,https://boxd.it/29yE,"31st film in Disney Animated Canon
Blu-Ray/DVD"
34,Alice in Wonderland,1951,https://boxd.it/1Sz6,"13th film in Disney Animated Canon
Blu-Ray/DVD"
35,Alien,1979,https://boxd.it/2awY,Blu-Ray
36,Aliens,1986,https://boxd.it/29PA,Blu-Ray
37,All About 'The Birds',1999,https://boxd.it/4j3U,Included on The Birds Blu-Ray as part of the Alfred Hitchcock: The Masterpiece Blu-Ray Collection
38,All Dogs Go to Heaven,1989,https://boxd.it/1TIo,DVD
39,All Monsters Attack,1969,https://boxd.it/13Co,"10th movie of the Godzilla Showa Era
Part of 15-film Showa Era Godzilla Criterion Blu-Ray Set"
40,All That Jazz,1979,https://boxd.it/1JB8,Criterion Blu-Ray
41,All the Cats Join In,1946,https://boxd.it/7ghA,Part of the Make Mine Music feature film
42,Almost Famous,2000,https://boxd.it/29CQ,Blu-Ray
43,Amazon Women on the Moon,1987,https://boxd.it/22Is,"Blu-Ray/DVD (UK, Region-2)"
44,Amélie,2001,https://boxd.it/2aUc,DVD
45,Angels in the Outfield,1994,https://boxd.it/1wYo,DVD
46,The Animatrix,2003,https://boxd.it/qH0,Part of a 4-movie Matrix Blu-Ray set
47,"Another Day, Another Time: Celebrating the Music of ""Inside Llewyn Davis""",2013,https://boxd.it/7894,Included on the Inside Llewyn Davis Criterion Blu-Ray
48,The Apartment,1960,https://boxd.it/2aGE,Arrow Academy Blu-Ray
49,Apocalypse Now,1979,https://boxd.it/6ZS,DVD
50,Aquaman,2018,https://boxd.it/9ru0,Blu-Ray/DVD
51,Aquarela do Brasil,1955,https://boxd.it/1bT8,Part of the Saludos Amigos feature film
52,Argo,2012,https://boxd.it/2czU,Blu-Ray/DVD
53,The Aristocats,1970,https://boxd.it/1X3Y,"20th film in Disney Animated Canon
Blu-Ray/DVD"
54,Armed and Deadly: The Making of 'The Dirty Dozen',2006,https://boxd.it/1i1i,Included on The Dirty Dozen Blu-Ray
55,Army of Darkness,1992,https://boxd.it/29G4,"DVD 
Bruce Campbell  vs. the Army of Darkness DVD"
56,Arrival,2016,https://boxd.it/aNGk,Blu-Ray
57,Assault on Precinct 13,1976,https://boxd.it/1I2c,Steelbook Blu-Ray
58,Atomic Blonde,2017,https://boxd.it/blDk,Blu-Ray/DVD
59,Attack of the 50 Foot Woman,1958,https://boxd.it/1Gq2,
60,Attack the Block,2011,https://boxd.it/hFO,Blu-Ray
61,Auntie Edna,2018,https://boxd.it/jXaw,Included on Incredibles 2 Blu-Ray
62,The Avengers,2012,https://boxd.it/1xFW,"6th film in the Marvel Cinematic Universe
Blu-Ray/DVD"
63,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,"11th film in the Marvel Cinematic Universe
Blu-Ray"
64,Avengers: Infinity War,2018,https://boxd.it/9vEe,"19th film in the Marvel Cinematic Universe
Blu-Ray"
65,Back to the Black Lagoon: A Creature Chronicle,2000,https://boxd.it/5LCA,Included on The Creature from the Black Lagoon Blu-Ray as part of Universal Monsters Blu-Ray set
66,Back to the Future,1985,https://boxd.it/2b8e,Part of a 3-movie Back to the Future DVD set
67,Back to the Future Part II,1989,https://boxd.it/2aYI,Part of a 3-movie Back to the Future DVD set
68,Back to the Future Part III,1990,https://boxd.it/2aTS,Part of a 3-movie Back to the Future DVD set
69,Bad Times at the El Royale,2018,https://boxd.it/fSA2,Blu-Ray/DVD
70,Bajrangi Bhaijaan,2015,https://boxd.it/bIbo,Blu-Ray
71,The Ballad of Nessie,2011,https://boxd.it/2Ds2,Part of the Walt Disney Short Films Collection
72,Bambi,1942,https://boxd.it/25AQ,"5th film in Disney Animated Canon
Blu-Ray/DVD"
73,Bambi II,2006,https://boxd.it/1QAQ,Blu-Ray/DVD
74,The Band Concert,1935,https://boxd.it/2ftq,Included on Make Mine Music DVD
75,Band of Brothers,2001,https://boxd.it/aRNY,DVD
76,Bao,2018,https://boxd.it/iEl4,"Part of Pixar Short Collection Vol. 3 Blu-Ray
Included on Incredibles 2 Blu-Ray"
77,The Bat,1959,https://boxd.it/1bSE,DVD
78,Bath Day,1946,https://boxd.it/47hK,Included on the Aristocats Blu-Ray
79,Batman,1989,https://boxd.it/2aIU,Steelbook Blu-Ray
80,Batman Begins,2005,https://boxd.it/2aIg,Steelbook Blu-Ray
81,Batman Forever,1995,https://boxd.it/2ara,Blu-Ray
82,Batman Returns,1992,https://boxd.it/2awa,DVD
83,Battle Royale,2000,https://boxd.it/25zS,DVD (No Cover)
84,Baía,1944,https://boxd.it/nOJK,Part of the The Three Caballeros feature film
85,Beasts of the Southern Wild,2012,https://boxd.it/2XPK,Blu-Ray/DVD
86,Beauty and the Beast,1991,https://boxd.it/1XhG,"30th film in Disney Animated Canon
Blu-Ray/DVD"
87,Beetlejuice,1988,https://boxd.it/24QI,Steelbook Blu-Ray
88,Before Midnight,2013,https://boxd.it/4ive,Part of a 3-movie Before Trilogy Criterion Blu-Ray set
89,Before Sunrise,1995,https://boxd.it/2bcU,Part of a 3-movie Before Trilogy Criterion Blu-Ray set
90,Before Sunset,2004,https://boxd.it/2bcg,Part of a 3-movie Before Trilogy Criterion Blu-Ray set
91,Being John Malkovich,1999,https://boxd.it/2ahu,Criterion Blu-Ray
92,Bend It Like Beckham,2002,https://boxd.it/2am0,DVD
93,Better Off Dead...,1985,https://boxd.it/1PFU,DVD
94,Beyond,2003,https://boxd.it/1xdo,Part of The Animatrix feature film
95,Beyond Doubt: The Making of Hitchcock's Favorite Film,2000,https://boxd.it/7n8q,Included on Shadow of a Doubt Blu-Ray as part of the Alfred Hitchcock: The Masterpiece Blu-Ray Collection
