
Date,Name,Tags,URL,Description
2017-03-28,My Ranking of Studio Ghibli,,https://boxd.it/11LM4,

Position,Name,Year,URL,Description
1,Spirited Away,2001,https://boxd.it/2b4m,
2,Howl's Moving Castle,2004,https://boxd.it/23De,
3,Whisper of the Heart,1995,https://boxd.it/17uy,
4,Nausicaä of the Valley of the Wind,1984,https://boxd.it/2bc6,
5,Princess Mononoke,1997,https://boxd.it/2b4w,
6,My Neighbor Totoro,1988,https://boxd.it/20eA,
7,When Marnie Was There,2014,https://boxd.it/78pm,
8,Grave of the Fireflies,1988,https://boxd.it/1RUM,
9,Kiki's Delivery Service,1989,https://boxd.it/1JAY,
10,Castle in the Sky,1986,https://boxd.it/1W4G,
11,The Red Turtle,2016,https://boxd.it/bdkE,
12,From Up on Poppy Hill,2011,https://boxd.it/2VCa,
13,Ponyo,2008,https://boxd.it/1S0A,
14,Lupin the Third: The Castle of Cagliostro,1979,https://boxd.it/1Mn4,
15,The Tale of the Princess Kaguya,2013,https://boxd.it/4JQI,
16,Only Yesterday,1991,https://boxd.it/1MR4,
17,Ocean Waves,1993,https://boxd.it/1CtQ,
18,The Secret World of Arrietty,2010,https://boxd.it/AF4,
19,Porco Rosso,1992,https://boxd.it/1Tp2,
20,The Wind Rises,2013,https://boxd.it/4JQS,
21,Pom Poko,1994,https://boxd.it/1Mvi,
22,The Cat Returns,2002,https://boxd.it/1Mne,
23,Tales from Earthsea,2006,https://boxd.it/17ae,
24,My Neighbors the Yamadas,1999,https://boxd.it/1KC2,
