
Date,Name,Tags,URL,Description
2017-03-28,My Ranking of Wes Anderson Films,,https://boxd.it/11LTu,

Position,Name,Year,URL,Description
1,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,
2,The Darjeeling Limited,2007,https://boxd.it/24as,
3,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
4,Isle of Dogs,2018,https://boxd.it/dZrW,
5,Moonrise Kingdom,2012,https://boxd.it/2Wng,
6,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
7,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
8,Hotel Chevalier,2007,https://boxd.it/21Ic,
9,Bottle Rocket,1996,https://boxd.it/1PDa,
10,Rushmore,1998,https://boxd.it/1TAO,
11,Bottle Rocket,1993,https://boxd.it/pP8,
