
Date,Name,Tags,URL,Description
2018-09-10,October,,https://boxd.it/22iCg,

Position,Name,Year,URL,Description
1,13 Ghosts,1960,https://boxd.it/1mL0,DVD
2,Alien,1979,https://boxd.it/2awY,Blu-Ray
3,Aliens,1986,https://boxd.it/29PA,Blu-Ray
4,All the Boys Love Mandy Lane,2006,https://boxd.it/1Zmy,Netflix
5,The Amityville Horror,1979,https://boxd.it/1TPk,"Hulu
Amazon Prime"
6,Angel Heart,1987,https://boxd.it/29WG,"Hulu
Amazon Prime"
7,Before I Wake,2016,https://boxd.it/9BgC,Netflix
8,Behind the Mask: The Rise of Leslie Vernon,2006,https://boxd.it/1UYi,Amazon Prime
9,Birdemic: Shock and Terror,2010,https://boxd.it/12Gk,Amazon Prime
10,Black Mountain Side,2014,https://boxd.it/813g,Amazon Prime
11,Blade II,2002,https://boxd.it/1agO,DVD
12,The Blob,1958,https://boxd.it/1ZKA,Blu-Ray
13,Blood Fest,2018,https://boxd.it/gW1i,CinemaSalem 10-06-18
14,The Blood on Satan's Claw,1971,https://boxd.it/1td0,Amazon Prime
15,Blood Surf,2000,https://boxd.it/1pNS,DVD
16,Boo,1932,https://boxd.it/4Kwa,Blu-Ray
17,The Brain That Wouldn't Die,1962,https://boxd.it/1fqO,Amazon Prime
18,The Bride of Frankenstein,1935,https://boxd.it/2aPc,Blu-Ray
19,Carnage Park,2016,https://boxd.it/cN9k,Netflix
20,The Carpenter,1988,https://boxd.it/2S3w,Amazon Prime
21,Cast a Deadly Spell,1991,https://boxd.it/2jwo,Amazon Prime
22,Circle,2015,https://boxd.it/b5So,Netflix
23,Clown,2014,https://boxd.it/3LJ8,Netflix
24,The Conjuring,2013,https://boxd.it/4sr2,Blu-Ray
25,Constantine,2005,https://boxd.it/2a7E,DVD
26,Creep,2014,https://boxd.it/7l4c,Netflix
27,Crocodile,2000,https://boxd.it/11J8,DVD
28,Dark Water,2002,https://boxd.it/1Sik,Amazon Prime
29,Day Watch,2006,https://boxd.it/272G,DVD
30,Deathgasm,2015,https://boxd.it/avNs,Amazon Prime
31,The Devil and Father Amorth,2017,https://boxd.it/glOi,Netflix
32,The Devil's Backbone,2001,https://boxd.it/28Li,Blu-Ray
33,Extraordinary Tales,2013,https://boxd.it/aL0c,Netflix
34,Flatliners,1990,https://boxd.it/28D4,DVD
35,The Fly,1986,https://boxd.it/1YIe,Hulu
36,The Frighteners,1996,https://boxd.it/1Vq2,DVD
37,Gerald's Game,2017,https://boxd.it/buKa,Netflix
38,The Girl with All the Gifts,2016,https://boxd.it/d2lg,Amazon Prime
39,Halloween,2018,https://boxd.it/f0uE,Theater
40,Halloween 4: The Return of Michael Myers,1988,https://boxd.it/1U2S,N/A
41,The Halloween Tree,1993,https://boxd.it/Og8,N/A
42,Hellions,2015,https://boxd.it/76Yk,N/A
43,The Hills Have Eyes,1977,https://boxd.it/1Sa6,Hulu
44,The Hitcher,1986,https://boxd.it/1Yq0,HBO Go
45,The Host,2006,https://boxd.it/28ZY,DVD
46,House,1977,https://boxd.it/1vsm,Blu-Ray
47,The Houses October Built 2,2017,https://boxd.it/gHkE,Hulu
48,The Howling,1981,https://boxd.it/1Uce,DVD
49,Häxan,1922,https://boxd.it/n4O,Amazon Prime
50,I Am the Pretty Thing That Lives in the House,2016,https://boxd.it/elo6,Netflix
51,I Saw the Devil,2010,https://boxd.it/FaK,Hulu
52,The Innkeepers,2011,https://boxd.it/kpu,Amazon Prime
53,Insidious,2010,https://boxd.it/H4k,DVD
54,Invasion of the Body Snatchers,1978,https://boxd.it/1SWk,Amazon Prime
55,The Invisible Man,1933,https://boxd.it/1VoK,Blu-Ray
56,Jacob's Ladder,1990,https://boxd.it/270g,"Amazon Prime
Hulu"
57,Jaws,1975,https://boxd.it/2a5e,DVD
58,Jenifer,2005,https://boxd.it/9vwY,Blu-Ray
59,Killer Klowns from Outer Space,1988,https://boxd.it/1Kpi,Blu-Ray
60,King Kong,1933,https://boxd.it/2aMM,DVD
61,Late Phases,2014,https://boxd.it/7t3G,Amazon Prime
62,Lightning Bug,2004,https://boxd.it/1fri,DVD
63,Little Evil,2017,https://boxd.it/bCIm,Netflix
64,The Love Witch,2016,https://boxd.it/cZie,Amazon Prime
65,Maniac,1934,https://boxd.it/1zD4,Amazon Prime
66,Mimic,1997,https://boxd.it/23zm,Hulu
67,The Most Dangerous Game,1932,https://boxd.it/27Gc,Amazon Prime
68,Murder Party,2007,https://boxd.it/1PTM,Netflix
69,Mutant Chronicles,2008,https://boxd.it/1QwE,DVD
70,New Nightmare,1994,https://boxd.it/1TsU,DVD
71,The Night of the Hunter,1955,https://boxd.it/25HW,N/A
72,A Nightmare on Elm Street 3: Dream Warriors,1987,https://boxd.it/1X9W,Blu-Ray
73,Octopus,2000,https://boxd.it/YQg,DVD
74,Octopus 2: River of Fear,2001,https://boxd.it/XwY,DVD
75,Phenomena,1985,https://boxd.it/1o4s,Amazon Prime
76,Piranha,1978,https://boxd.it/1wTI,Amazon Prime
77,Pumpkinhead,1988,https://boxd.it/1tJq,Hulu
78,The Return of the Living Dead,1985,https://boxd.it/1V3W,DVD
79,Rift,2017,https://boxd.it/fDx8,Amazon Prime
80,The She-Creature,1956,https://boxd.it/UNW,DVD (MST3K)
81,Shivers,1975,https://boxd.it/1rPG,Amazon Prime
82,Sick Girl,2006,https://boxd.it/b0UO,Blu-Ray
83,Something Wicked This Way Comes,1983,https://boxd.it/1wWC,DVD
84,Stage Fright,1997,https://boxd.it/tlc,DVD
85,Suspiria,1977,https://boxd.it/1SNW,CinemaSalem 10-12-18
86,The Terror,1963,https://boxd.it/1iBU,Amazon Prime
87,The Thing,1982,https://boxd.it/294O,DVD
88,The Town that Dreaded Sundown,2014,https://boxd.it/8UuQ,Amazon Prime
89,Train to Busan,2016,https://boxd.it/dSQU,Netflix
90,Trick 'r Treat,2007,https://boxd.it/1zvE,N/A
91,V/H/S/2,2013,https://boxd.it/4Ysw,"Netflix
Hulu"
92,Village of the Damned,1995,https://boxd.it/1Suq,DVD
93,Virus,1999,https://boxd.it/1YII,DVD
94,The Voices,2014,https://boxd.it/7b3S,Netflix
95,The Wailing,2016,https://boxd.it/9fLy,Netflix
96,War of the Colossal Beast,1958,https://boxd.it/16nQ,DVD (MST3K)
97,We Are What We Are,2013,https://boxd.it/4Ytk,Amazon Prime
98,Wendigo,2001,https://boxd.it/Scu,Amazon Prime
99,Willow Creek,2013,https://boxd.it/5CXY,Amazon Prime
100,X: The Man with the X-Ray Eyes,1963,https://boxd.it/1gVI,Amazon Prime
