
Date,Name,Tags,URL,Description
2020-01-01,Official Top 100 Narrative Feature Films by Women Directors,"letterboxd, official top 100, women directors, allstats",https://boxd.it/4ts1Q,"Ranked by average user rating. The list was extracted thanks to <a href=""https://admin.letterboxd.com/thaizy/list/directed-by-women/"" rel=""nofollow"">here</a> and <a href=""https://admin.letterboxd.com/michaelhaneke/list/films-directed-by-women/"" rel=""nofollow"">here.</a> This was not possible without the curation of these megalists. It will be updated monthly.

An official list progress project on all-time stats pages for Pro and Patron users. <a href=""https://news.letterboxd.com/post/188461808723/top-100-women-directors"" rel=""nofollow"">Read LWLies, Sight & Sound, Empire, and NME critic Ella Kemp's deep-dive into the list here!</a>

~~

<i>ELIGIBILITY RULES:</i>

• This list counts female co-directors, even if uncredited. The developers are working towards co-directors getting their credit listed on main pages. 
• Includes cis, transgender and female-identifying directors.
• Films must be feature-length (45+ minutes), with a theatrical and/or festival release. 
• Documentaries of any kind, short films, theater/stage, TV movies, TV series or miniseries, and episodes are excluded. 
• There is a 1,000 minimum view threshold. 

––

<i>NOTABLE INCLUSIONS:</i>

• The #2 on the list, <i>City of God</i> was co-directed by Kátia Lund. However, Lund was snubbed for the Academy Award while only Fernando Meirelles was nominated due to their rules about director teams. Meirelles and Lund worked together closely, directing the short <i>Golden Gate</i> in 2001 together as a test run for <i>City of God</i>. They then collaborated on the <i>City of Men</i> TV series adapted from <i>City of God</i> where she directed 4 episodes. 
• <i>Werckmeister Harmonies</i> and <i>The Turin Horse</i> were co-directed by Bela Tarr's wife and editor Ágnes Hranitzky. The credit developed because of the extent Hranitzky had to be on set to assist Tarr with the timings of his long takes in order to match other shots. She edited all his films since 1981 but the credit only began in 2000. I am not mistaking Bela to be a woman.
• While they are currently the only transgender directors in the list, <i>The Matrix</i> is valid regardless of how the Wachowski siblings publically identified as at the time. Transgender women were always women, no matter which body parts they were born with.
• Jacques Rivette's <i>Out 1</i> was co-directed by his screenwriting partner <i>Suzanne Schiffman</i>.

Please feel free to let me know any movies I've missed. 

Warning: If you did not get this far in the description and you leave a thoughtless comment such as ""Bela Tarr is a man"" then it will be removed. You can ask ""Who is the credited female director on The Turin Horse?"" but don't phrase your question the other way.

––

<i>STATS:</i>

<b>Top Decade:</b> <i>2010s</i> (44 films)
<b>Top Decade (20th Century only):</b> <i>1970s</i> (13 films)
<b>Top Year:</b> <i>2018; 2019</i> (9 films each, by Letterboxd year)
<b>Top Year (20th Century only):</b> <i>1999</i> (4 films, by Letterboxd year)
<b>Newest Film:</b> <i>Little Women</i> (2019)
<b>Oldest Film:</b> <i>The Adventures of Prince Achmed</i> (1926)
<b>Longest Film:</b> <i>Out 1</i> (743 mins)
<b>Shortest Film:</b> <i>The Adventures of Prince Achmed</i> (65 mins)
<b>Oscar Nominations:</b> <i>43</i> (between 19 films)
<b>Oscar Wins:</b> <i>9</i> (between 5 films)
<b>Best Picture Nominees:</b> <i>5 out 13</i> (excludes Children of a Lesser God, The Prince of Tides, The Piano, The Hurt Locker, An Education, The Kids Are All Right, Winter's Bone & Zero Dark Thirty).
<b>Oscar Nominees for Best Director:</b> <i>4 out of 5</i> (excludes Oscar winner Kathryn Bigelow)
<b>Animated Films:</b> <i>10</i>
<b>Non-English Language Films:</b> <i>56</i>
<b>Male Directors Credited On the List:</b> <i>17</i> (Jean-Marie Straub has three films and Béla Tarr has two)

<i>TOP DIRECTORS TALLY:</i>

• <a href=""https://letterboxd.com/director/agnes-varda/by/rating/"" rel=""nofollow"">Agnès Varda</a> - 6 films
• <a href=""https://letterboxd.com/director/chantal-akerman/by/rating/"" rel=""nofollow"">Chantal Akerman</a> - 3 films
• <a href=""https://letterboxd.com/director/claire-denis/by/rating/"" rel=""nofollow"">Claire Denis</a> - 3 films
• <a href=""https://letterboxd.com/director/daniele-huillet-1/by/rating/"" rel=""nofollow"">Danièle Huillet</a> - 3 films
• <a href=""https://letterboxd.com/director/elaine-may/by/rating/"" rel=""nofollow"">Elaine May</a> - 3 films
• <a href=""https://letterboxd.com/director/lynne-ramsay/by/rating/"" rel=""nofollow"">Lynne Ramsay</a> - 3 films
• <a href=""https://letterboxd.com/director/naoko-yamada/by/rating/"" rel=""nofollow"">Naoko Yamada</a> - 3 films
• <a href=""https://letterboxd.com/director/andrea-arnold/by/rating/"" rel=""nofollow"">Andrea Arnold</a> - 2 films
• <a href=""https://letterboxd.com/director/greta-gerwig/by/rating/"" rel=""nofollow"">Greta Gerwig</a> - 2 films
• <a href=""https://letterboxd.com/co-director/agnes-hranitzky/by/rating/"" rel=""nofollow"">Ágnes Hranitzky</a> - 2 films
• <a href=""https://letterboxd.com/director/celine-sciamma/by/rating/"" rel=""nofollow"">Céline Sciamma</a> - 2 films
• <a href=""https://letterboxd.com/director/larisa-shepitko/by/rating/"" rel=""nofollow"">Larisa Shepitko</a> - 2 films
• <a href=""https://letterboxd.com/director/lina-wertmuller/by/rating/"" rel=""nofollow"">Lina Wertüller</a> - 2 films

––

Other lists of female filmmakers:

• <a href=""https://boxd.it/46NnC"" rel=""nofollow"">Top 100+ Highest-Rated Women-Directed Films With Less Than 1k Logs</a>
• <a href=""https://boxd.it/46OF8"" rel=""nofollow"">Top 150 Highest-Rated Women-Directed Documentaries</a>
• <a href=""https://boxd.it/2tHvS"" rel=""nofollow"">Written by Women</a>
• <a href=""https://letterboxd.com/michaelhaneke/list/recommendations-for-everyone-who-wants-to/"" rel=""nofollow"">Recommendations for everyone who wants to watch more movies by female directors but doesn’t know where to start</a>
• <a href=""https://letterboxd.com/andredenervaux/list/females-cant-make-movies-yeah-lol-look-at/"" rel=""nofollow"">“females cant make movies” yeah lol look at these dickface</a>
• <a href=""https://letterboxd.com/danadanger/list/directed-by-women/"" rel=""nofollow"">directed by women</a>
• <a href=""https://letterboxd.com/crew/list/11-essential-films-directed-by-women-a-52filmsbywomen/"" rel=""nofollow"">11 Essential Films Directed by Women—a #52FilmsbyWomen List from Women In Film</a>

~~

I also run Letterboxd's 'official' top 50s of <a href=""https://letterboxd.com/moulton/list/letterboxds-official-top-50-of-2016/"" rel=""nofollow"">2016</a>, <a href=""https://letterboxd.com/moulton/list/letterboxds-official-top-50-of-2017/"" rel=""nofollow"">2017</a>, <a href=""https://letterboxd.com/moulton/list/letterboxds-official-top-50-of-2018/"" rel=""nofollow"">2018</a>, <a href=""https://letterboxd.com/moulton/list/letterboxds-official-top-50-of-2019/"" rel=""nofollow"">2019</a>, and the <a href=""https://letterboxd.com/moulton/list/official-top-100-documentary-films/"" rel=""nofollow"">official top 100 documentaries of all-time</a> lists."

Position,Name,Year,URL,Description
1,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
2,Little Women,2019,https://boxd.it/aSVk,
3,City of God,2002,https://boxd.it/2a2a,
4,Werckmeister Harmonies,2000,https://boxd.it/1zzw,
5,"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",1975,https://boxd.it/T18,
6,The Ascent,1977,https://boxd.it/Eew,
7,The Second Mother,2015,https://boxd.it/9Ydm,
