
Date,Name,Tags,URL,Description
2017-05-05,Pixar Ranked ,,https://boxd.it/14qzk,My ranking of the Pixar movies I have seen.

Position,Name,Year,URL,Description
1,The Incredibles,2004,https://boxd.it/1XLm,
2,Toy Story,1995,https://boxd.it/29qA,
3,Inside Out,2015,https://boxd.it/4KHC,
4,Toy Story 3,2010,https://boxd.it/1WRe,
5,Toy Story 2,1999,https://boxd.it/29qq,
6,Finding Nemo,2003,https://boxd.it/72i,
7,WALL·E,2008,https://boxd.it/1VEo,
8,Ratatouille,2007,https://boxd.it/27ww,
9,Up,2009,https://boxd.it/1OEc,
10,"Monsters, Inc.",2001,https://boxd.it/2a46,
11,A Bug's Life,1998,https://boxd.it/1Yyy,
12,Finding Dory,2016,https://boxd.it/4aAA,
13,Cars,2006,https://boxd.it/29ho,
14,Monsters University,2013,https://boxd.it/bQm,
15,Brave,2012,https://boxd.it/bVG,
16,The Good Dinosaur,2015,https://boxd.it/3AD4,
