
Date,Name,Tags,URL,Description
2019-03-17,Queer Film Challenge 2018,"queer, queerchallenge, challenge",https://boxd.it/2INig,"I had such a fun time curating and participating in the 2017 Queer Challenge this year so I figured why not continue on with a new one this year. I did some tinkering here and there and I'm really satisfied with this grouping of challenges. So join in and make your own lists! Comment with them below and make sure to include the link to this list so others can join in easily.

There are no stipulations as to what you can pick for the challenge. Of course you want to focus on queer-centred films, but of course queer context can be found in the most surprising places. There's an important skill to hone in on when doing this challenge and that's evaluating qualities of good and bad queer film and the different tropes present in so many queer films. It's doing this personal study for myself on queer film that has made me absolutely passionate about the genre.

While you aren't forced to go in the suggested order, it's nice to see everyone's views on each week's subject and how they intercross with one another. When logging a film, make sure to state the challenge, the week and tag it with ""queerchallenge18"".

Lastly have fun with your films. There's a zillion choices to pick from. If you have trouble finding something, there are plenty of films to be found in the lists provided in weeks 1, 2, 15 and 51.

When you complete the list, comment below and I'll add your list to the masterlist. I think I've covered everything. Questions, comments, compliments and concerns can also be left in the comments below.

Week 1 (1/1-7). Queer Essentials: Pick a film from either <a href=""https://letterboxd.com/cherprayers/list/queer-people-are-why-i-love-film/"" rel=""nofollow"">this list</a> or <a href=""https://letterboxd.com/yung_narcissus/list/queer-essentials-for-the-newly-initiated/"" rel=""nofollow"">this one</a>.
Week 2 (1/8-14). Queer Essentials Part 2: Pick a film from either <a href=""https://letterboxd.com/glazomaniac/list/lgbtqia/"" rel=""nofollow"">this list</a> or <a href=""https://letterboxd.com/cherprayers/list/queer-films-everyone-must-see/"" rel=""nofollow"">this one</a>.
Week 3 (1/15-21). <a href=""https://letterboxd.com/windyblue/list/intersex/"" rel=""nofollow"">A film about intersex people or a film with an intersex character</a>
Week 4 (1/22-28). A film about a fight or fighter for queer civil rights. (Doesn't have to be American!!)
Week 5 (1/29-2/4). A queer film starring a trans actor or actress.
Week 6(2/5-2/11). A film by a trans filmmaker who is not a Wachowski sister
Week 7(2/12-18). A queer comedy
Week 8 (2/19-25). A film with a queer-coded villain
Week 9 (2/26-3/4). A film that uses the <a href=""http://tvtropes.org/pmwiki/pmwiki.php/Main/BuryYourGays"" rel=""nofollow"">""bury your gays"" trope</a>
Week 10 (3/5-11). A queer short film
Week 11. A film about a polyamorous relationship.
Week 12. A film that was nominated for the Queer Palm award
Week 13. A film starring someone you consider to be a queer icon
Week 14. A documentary about a queer person
Week 15. A film <a href=""https://letterboxd.com/d_ray/list/bfi-best-lgbt-films-of-all-time-every-film/"" rel=""nofollow"">voted for BFI's best LGBT film</a>
Week 16. A film starring an actress from Old Hollywood who was in closet or presumed to be
Week 17. A film <a href=""https://letterboxd.com/cherprayers/list/tcms-spotlight-on-gay-hollywood/"" rel=""nofollow"">featured on TCM's Spotlight of Gay Hollywood</a> or <a href=""https://letterboxd.com/martin_swift/list/films-featured-in-the-celluloid-closet/"" rel=""nofollow"">featured in the <i>The Celluloid Closet</i></a>.
Week 18. A film post-1980 with queer subtext (OR <a href=""https://letterboxd.com/elledriver/list/shoulda-been-gayer/"" rel=""nofollow"">movies that should have been a lot gayer</a>.)
Week 19. An Asian Queer Film (it's unfair to put a whole continent together but these films are a lot fewer unfortunately)
Week 20. A queer biopic
Week 21. A film <a href=""https://en.wikipedia.org/wiki/List_of_LGBT_Academy_Award_winners_and_nominees"" rel=""nofollow"">for which a queer person was nominated for an Academy Award</a>
Week 22. A film directed by Gregg Araki
Week 23. A film starring a drag performer or prominently features drag performance
Week 24. A gay interest film <a href=""https://letterboxd.com/cherprayers/list/logos-cocktails-classics/"" rel=""nofollow"">shown on Logo's Cocktails and Classics</a>
Week 25. A film <a href=""https://en.wikipedia.org/wiki/Strand_Releasing"" rel=""nofollow"">distributed by Strand Releasing</a>
Week 26. A <a href=""https://letterboxd.com/12pt9/list/queer-cinema-before-stonewall/"" rel=""nofollow"">pre-Stonewall</a> queer film.
Week 27. A <a href=""https://letterboxd.com/cherprayers/list/controversial-queer-films/"" rel=""nofollow"">controversial queer film/a film controversial for treatment of queer identity.</a>
Week 28. A Middle Eastern queer film
Week 29. A film starring Ian McKellen (as suggested by <a href=""https://letterboxd.com/quinnrex/"" rel=""nofollow"">Quinn.</a>)
Week 30. A film featured in <a href=""https://letterboxd.com/mitch_j/list/new-queer-cinema-the-directors-cut/"" rel=""nofollow""><i>The New Queer Cinema: The Directors Cut</i> by B. Ruby Rich.</a>
Week 31. A film featuring a <a href=""https://letterboxd.com/windyblue/list/transguys-transmen-transmasculine-ftm/"" rel=""nofollow"">trans man/transmasculine person.</a>
Week 32. A film featuring young queer characters. (Teenager and younger!!)/(as suggested by <a href=""https://letterboxd.com/christianalec94/"" rel=""nofollow"">Christian</a>)
Week 33. A film by a queer POC director.
Week 34. A film by a queer female director.
Week 35. A <a href=""https://letterboxd.com/cherprayers/list/queercore/"" rel=""nofollow"">Queercore film.</a>
Week 36. A queer film <a href=""https://letterboxd.com/mittland/list/lgbt-films-with-happy-endings/"" rel=""nofollow"">with a happy ending.</a>
Week 37. A <a href=""https://letterboxd.com/rickyblue/list/teddy-awards/"" rel=""nofollow"">Teddy Award Winner.</a>
Week 38. An experimental queer film or a queer film with an unorthodox narrative to it.
Week 39. A <a href=""https://letterboxd.com/khoss/list/autostraddles-revised-103-best-lesbian-movies/"" rel=""nofollow"">sapphic film.</a>
Week 40. A film <a href=""https://letterboxd.com/gdw/list/films-with-actually-bisexual-characters/"" rel=""nofollow"">with bisexual characters.</a>
Week 41. A queer film focusing on a character who isn’t in the LGB acronym, but in one the others. (asexual, pansexual, gender fluid, etc.) Basically what I'm going for is the identities that get less representation.
Week 42. A movie <a href=""https://www.advocate.com/transgender/2016/2/11/20-revolutionary-trans-love-scenes"" rel=""nofollow"">with with a romantic subplot involving a trans character.</a>
Week 43. A queer horror or science fiction film
Week 44. A <a href=""https://letterboxd.com/31616/list/french-queer-cinema/"" rel=""nofollow"">French queer film.</a>
Week 45. A Latinx queer film
Week 46. A film about the AIDS crisis
Week 47. A queer film starring a queer POC actor/actress (I wish I could highlight a specific actor/actress for this, but none of the ones I found have enough films to choose from!)
Week 48. A film directed by Cheryl Dunye
Week 49. A film <a href=""http://tvtropes.org/pmwiki/pmwiki.php/Main/CastFullOfGay"" rel=""nofollow"">where a majority of the characters in the film are queer.</a>
Week 50. A film starring gay camp and sexually ambiguous (probably bi though) icon Joan Crawford (as suggested by <a href=""https://letterboxd.com/quinnrex/"" rel=""nofollow"">Quinn.</a>)
Week 51. A film made by someone <a href=""https://www.buzzfeed.com/louispeitzman/queer-filmmakers-you-should-know?utm_term=.hnxlq225w#.lvYyvYYRE"" rel=""nofollow"">on this list</a> whose work isn't anywhere else on your challenge list.
Week 52. Watch a queer friend's favorite queer film. If you participated in the last challenge, ask a different if you can. If you don't have a queer friend, watch a queer film you just really want to watch.

BONUS CATEGORIES
Week 53. A film used in the <a href=""https://letterboxd.com/tag/queerchallenge17/"" rel=""nofollow"">last challenge</a> that doesn’t seem quite queer.
Week 54. A queer musical or queer music film
Week 55. A film by a director that was showcased in the last challenge (Xavier Dolan, James Whale, Pedro Almodovar, Jodie Foster, Andy Warhol, John Waters,Bruce LaBruce, the Wachowskis, Todd Haynes or George Cukor) but not this one OR a film by a queer director you think was overlooked in both challenges.
Week 56. A film <a href=""https://www.youtube.com/channel/UCfjYVzUfwVXd3u6zoKDh8xw/videos?flow=grid&view=0&sort=p"" rel=""nofollow"">that is available for free on the FilmRise Gay and Lesbian channel on Youtube.</a>

The Challengers:
<a href=""https://letterboxd.com/winterisbroken/list/queer-film-challenge-2018/"" rel=""nofollow"">Casey</a>|<a href=""https://letterboxd.com/oh_calypso/list/queer-film-challenge-2018/"" rel=""nofollow"">oh_calypso</a>|<a href=""https://letterboxd.com/fake_shemp/list/queer-film-challenge-2018/"" rel=""nofollow"">Fake Shemp</a>|<a href=""https://letterboxd.com/49px/list/challenge-queer-film-2k18/"" rel=""nofollow"">johnnie</a>|<a href=""https://letterboxd.com/jimmy_melnarik/list/2018-queer-film-challenge/"" rel=""nofollow"">Jimmy</a>|<a href=""https://letterboxd.com/brahski/list/brahskis-2018-queer-film-challenge/"" rel=""nofollow"">Brahski</a>|<a href=""https://letterboxd.com/quinnrex/list/queer-film-challenge-2018/"" rel=""nofollow"">Quinn</a>|
<a href=""https://letterboxd.com/tikiwho/list/queer-film-challenge-2018-tikiwho/"" rel=""nofollow"">Jason Tucker</a>|<a href=""https://letterboxd.com/gargusscp/list/gargus-queer-film-challenge-2018/"" rel=""nofollow"">Gargus</a>|<a href=""https://letterboxd.com/tigerkat/list/queer-film-challenge-2018/"" rel=""nofollow"">Katzilla</a>|<a href=""https://letterboxd.com/pandabearshape/list/queer-film-challenge-2018/"" rel=""nofollow"">Tessa Racked</a>|<a href=""https://letterboxd.com/juroeast/list/queer-film-challenge-2018/"" rel=""nofollow"">Julia</a>|<a href=""https://letterboxd.com/tjdempsey10/list/queer-film-challenge-2018/"" rel=""nofollow"">Toby</a>|<a href=""https://letterboxd.com/cariagaa/list/queer-film-challenge-2018/"" rel=""nofollow"">cariagaa</a>|
<a href=""https://letterboxd.com/8deadsuns/list/2018-queer-film-challenge/"" rel=""nofollow"">Never Angeline Nørth</a>|<a href=""https://letterboxd.com/svante/list/queer-film-challenge-2018/"" rel=""nofollow"">Svante</a>|<a href=""https://letterboxd.com/tdtoussaint/list/queer-film-challenge-2018/"" rel=""nofollow"">Todd Toussaint</a>|<a href=""https://letterboxd.com/peterhildebrand/list/queer-film-challenge-2018/"" rel=""nofollow"">Peter H</a>|<a href=""https://letterboxd.com/nerdijn/list/queer-film-challenge-2018/"" rel=""nofollow"">Nerdijn</a>|<a href=""https://letterboxd.com/birdflyinghigh/list/2018-queer-films-challenge/"" rel=""nofollow"">birdflyinghigh</a>
<a href=""https://letterboxd.com/herrguth/list/queer-film-challenge-2018/"" rel=""nofollow"">Herrguth</a>|<a href=""https://letterboxd.com/bdogdarapstar/list/queer-film-challenge-2018/"" rel=""nofollow"">Brandon Caswell Douglas</a>|<a href=""https://letterboxd.com/christianalec94/list/queer-film-challenge-2018/"" rel=""nofollow"">Christian Alec</a>|<a href=""https://letterboxd.com/diabeticsuga/list/queer-film-challenge-2018/"" rel=""nofollow"">Ken</a>|<a href=""https://letterboxd.com/nwracan/list/queer-film-challenge-2018/"" rel=""nofollow"">Nick Wracan</a>|<a href=""https://letterboxd.com/joekeland/list/2018-queer-cinema-challenge/"" rel=""nofollow"">Josefine</a>|
<a href=""https://letterboxd.com/thetalkingtree/list/queer-film-challenge-2018/"" rel=""nofollow"">Tree Yager</a>|<a href=""https://letterboxd.com/anj/list/queer-film-challenge-2018/"" rel=""nofollow"">anj</a>|<a href=""https://letterboxd.com/sweetshel/list/queer-film-challenge-2018/"" rel=""nofollow"">Shelly</a>|<a href=""https://letterboxd.com/muggletimelord/list/queer-film-challenge-2018/"" rel=""nofollow"">Bethan</a>|<a href=""https://letterboxd.com/lisajoanjackson/list/queer-film-challenge-2018/"" rel=""nofollow"">lisa</a>|<a href=""https://letterboxd.com/bobosfilms/list/queer-film-challenge-2018/"" rel=""nofollow"">Rowan O'Brien</a>|<a href=""https://letterboxd.com/weekes_93/list/2018-queer-fim-challenge/"" rel=""nofollow"">Saranne</a>|<a href=""https://letterboxd.com/charlieshaw/list/the-2018-queer-film-challenge/"" rel=""nofollow"">charlie shaw</a>|<a href=""https://letterboxd.com/racheljml/list/2018-queer-fim-challenge/"" rel=""nofollow"">Rachel</a>|
<a href=""https://letterboxd.com/bdoze/list/queer-film-challenge-2018/"" rel=""nofollow"">Brett</a>|<a href=""https://letterboxd.com/sophdunc/list/queer-film-challenge-2018/"" rel=""nofollow"">Sophie</a>|<a href=""https://letterboxd.com/sailordanae/list/queer-film-challenge-2018/"" rel=""nofollow"">sailordanae</a>|<a href=""https://letterboxd.com/a_regis/list/regis-queer-film-challenge-2018/"" rel=""nofollow"">Régis</a>|"

Position,Name,Year,URL,Description
1,Cruising,1980,https://boxd.it/1qzW,"1. Queer Essentials: Pick a film from either <a href=""https://letterboxd.com/cherprayers/list/queer-people-are-why-i-love-film/"" rel=""nofollow"">this list</a> or <a href=""https://letterboxd.com/yung_narcissus/list/queer-essentials-for-the-newly-initiated/"" rel=""nofollow"">this one</a>."
2,Beau Travail,1999,https://boxd.it/1NI8,"2. Queer Essentials Part 2: Pick a film from either <a href=""https://letterboxd.com/glazomaniac/list/lgbtqia/"" rel=""nofollow"">this list</a> or <a href=""https://letterboxd.com/cherprayers/list/queer-films-everyone-must-see/"" rel=""nofollow"">this one</a>."
3,Spork,2010,https://boxd.it/2PtQ,"3. <a href=""https://letterboxd.com/windyblue/list/intersex/"" rel=""nofollow"">A film about intersex people or a film with an intersex character</a>"
4,Stonewall Uprising,2010,https://boxd.it/4hA8,4. A film about a fight or fighter for queer civil rights. (Doesn't have to be American!!)
5,Gun Hill Road,2011,https://boxd.it/2k2,5. A queer film starring a trans actor or actress.
6,Deidra & Laney Rob a Train,2017,https://boxd.it/fbDM,6. A film by a trans filmmaker who is not a Wachowski sister
7,Camp,2003,https://boxd.it/1fHA,7. A queer comedy
