
Date,Name,Tags,URL,Description
2019-03-17,Queer Films Everyone Must See,queer,https://boxd.it/2INfc,"The title says it all. Not comprehensive (yet). I'm only listing the films I've seen so far. Hoping to one day make this is a 1001 Queer Films You Must See Before You Die list, but we'll see...

We've got films covering any identity under the queer spectrum - docs, films, stand up and shorts. Wide variety of the queer lens here. Some aren't the best examples of queer films or certain communities, but I feel a lot of these have at least some good queer quality to them that is significant. I've also put in a few titles that are controversial because I feel like their inclusion also add to the scope of the genre.


Please give me suggestions for more. I'm trying harder to make it more diverse (which means less stories about cis white males, and more of well, everyone else)"

Position,Name,Year,URL,Description
1,(A)sexual,2011,https://boxd.it/4GG6,
2,4 Moons,2014,https://boxd.it/7CrC,
3,52 Tuesdays,2013,https://boxd.it/7bRI,
4,"The Adventures of Priscilla, Queen of the Desert",1994,https://boxd.it/26mg,
5,After Stonewall,1999,https://boxd.it/196I,
6,"Algie, the Miner",1912,https://boxd.it/2Tzy,
7,All About Eve,1950,https://boxd.it/29LI,
8,All About My Mother,1999,https://boxd.it/2b9c,
9,The Alternative Miss World,1980,https://boxd.it/6nFW,
10,American Reflexxx,2015,https://boxd.it/bato,
11,Angels in America,2003,https://boxd.it/1yug,
12,Appropriate Behavior,2014,https://boxd.it/7k4U,
13,Bad Education,2004,https://boxd.it/2b2K,
14,The Ballad of Genesis and Lady Jaye,2011,https://boxd.it/2QDi,
15,Basquiat,1996,https://boxd.it/2a9A,
16,Beach Rats,2017,https://boxd.it/f5m6,
17,Beau Travail,1999,https://boxd.it/1NI8,
18,Beautiful by Night,2014,https://boxd.it/bdGg,
19,Beautiful Darling,2010,https://boxd.it/6Glc,
20,Beauty and the Beast,1946,https://boxd.it/29UA,
21,Becoming Chaz,2011,https://boxd.it/3lhM,
22,Before Stonewall,1984,https://boxd.it/1gCG,
23,Beginners,2010,https://boxd.it/s2S,
24,Behind the Candelabra,2013,https://boxd.it/3Y0U,
25,Being 17,2016,https://boxd.it/d6U0,
26,Bessie,2015,https://boxd.it/aPFe,
27,Better Than Chocolate,1999,https://boxd.it/1HmA,
28,The Birdcage,1996,https://boxd.it/1UTi,
29,The Bitter Tears of Petra von Kant,1972,https://boxd.it/1WzE,
30,Black Mirror: San Junipero,2016,https://boxd.it/h634,
31,Blow Job,1964,https://boxd.it/RNu,
32,Blue Girls Burn Fast,2016,https://boxd.it/dJ4s,
33,Bound,1996,https://boxd.it/1Z1g,
34,Boy Meets Girl,2015,https://boxd.it/7Pde,
35,Boys on the Side,1995,https://boxd.it/1YPa,
36,BPM (Beats per Minute),2017,https://boxd.it/g796,
37,The Bride of Frankenstein,1935,https://boxd.it/2aPc,
38,Bridegroom,2013,https://boxd.it/5mcs,
39,Brokeback Mountain,2005,https://boxd.it/2b2q,
40,But I'm a Cheerleader,1999,https://boxd.it/1CW4,
41,Cabaret,1972,https://boxd.it/1Vpe,
42,Calamity Jane,1953,https://boxd.it/1OJw,
43,Can You Ever Forgive Me?,2018,https://boxd.it/e7x4,
44,Carol,2015,https://boxd.it/7DPK,
45,The Celluloid Closet,1995,https://boxd.it/1gWw,
46,Chely Wright: Wish Me Away,2011,https://boxd.it/3rX0,
47,The Children's Hour,1961,https://boxd.it/1DZI,
48,Closet Monster,2015,https://boxd.it/bU3c,
