
Date,Name,Tags,URL,Description
2019-03-17,QUEER PEOPLE ARE WHY I LOVE FILM,"showdown:pride, queer, favorites",https://boxd.it/2INaQ,"These are the perfect queer films. An essentials list.

Special shout out to the gay icon Babadook and homo-subtext films like Rebel Without a Cause. It's kind of the pocket edition of my <a href=""https://letterboxd.com/cherprayers/list/queer-films-everyone-must-see//"" rel=""nofollow"">Queer Films Everyone Must See</a>."

Position,Name,Year,URL,Description
1,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,
2,Pink Flamingos,1972,https://boxd.it/29NO,
3,Paris Is Burning,1990,https://boxd.it/1jzg,
4,Carol,2015,https://boxd.it/7DPK,
5,Desperate Living,1977,https://boxd.it/1Or8,
6,Funeral Parade of Roses,1969,https://boxd.it/28Cg,
7,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,https://boxd.it/1ZbK,
8,Moonlight,2016,https://boxd.it/d6bE,
9,Silkwood,1983,https://boxd.it/1RQK,
10,Pariah,2011,https://boxd.it/2wWk,
11,BPM (Beats per Minute),2017,https://boxd.it/g796,
12,Rock Hudson's Home Movies,1992,https://boxd.it/45ho,
13,Looking for Langston,1989,https://boxd.it/1hfe,
14,The Celluloid Closet,1995,https://boxd.it/1gWw,
15,Song of Love,1950,https://boxd.it/36Om,
16,Pink Narcissus,1971,https://boxd.it/WKU,
17,I Am Divine,2013,https://boxd.it/5iqK,
18,Tangerine,2015,https://boxd.it/9QRe,
19,All About My Mother,1999,https://boxd.it/2b9c,
20,The Way He Looks,2014,https://boxd.it/70yA,
21,Weekend,2011,https://boxd.it/2Kzu,
22,Something Must Break,2014,https://boxd.it/7jBe,
23,Multiple Maniacs,1970,https://boxd.it/1vs2,
24,Born in Flames,1983,https://boxd.it/19IC,
25,Like Cattle Towards Glow,2015,https://boxd.it/dqjo,
26,Shortbus,2006,https://boxd.it/28So,
27,Happy Together,1997,https://boxd.it/1Ha0,
28,I Killed My Mother,2009,https://boxd.it/1ubO,
29,Closet Monster,2015,https://boxd.it/bU3c,
30,Hedwig and the Angry Inch,2001,https://boxd.it/1Qfe,
31,Mysterious Skin,2004,https://boxd.it/1UsG,
32,Angels in America,2003,https://boxd.it/1yug,
33,"The Adventures of Priscilla, Queen of the Desert",1994,https://boxd.it/26mg,
34,Mala Mala,2014,https://boxd.it/7RQW,
35,Queen Christina,1933,https://boxd.it/1iTY,
36,Velvet Goldmine,1998,https://boxd.it/2878,
37,Viva,2015,https://boxd.it/caEI,
38,The Watermelon Woman,1996,https://boxd.it/RRc,
39,History Lessons,2000,https://boxd.it/64m2,
40,Bound,1996,https://boxd.it/1Z1g,
41,The Children's Hour,1961,https://boxd.it/1DZI,
42,The Times of Harvey Milk,1984,https://boxd.it/1g1U,
43,God's Own Country,2017,https://boxd.it/faZM,
44,Pride,2014,https://boxd.it/6TwM,
45,Gerontophilia,2013,https://boxd.it/6ljE,
46,Rent,2005,https://boxd.it/2844,
47,Cloudburst,2011,https://boxd.it/3Tnu,
48,Her Story,2016,https://boxd.it/dprQ,
49,XXY,2007,https://boxd.it/1Uwe,
50,Venus Boyz,2002,https://boxd.it/5sWw,
51,The Skinny,2012,https://boxd.it/3M9U,
52,Paris 05:59: Théo & Hugo,2016,https://boxd.it/dkFe,
53,Bridegroom,2013,https://boxd.it/5mcs,
54,Black Mirror: San Junipero,2016,https://boxd.it/h634,
55,But I'm a Cheerleader,1999,https://boxd.it/1CW4,
56,Mädchen in Uniform,1931,https://boxd.it/1Y8g,
57,The Living End,1992,https://boxd.it/1fRA,
58,The Miseducation of Cameron Post,2018,https://boxd.it/f6B2,
59,Can You Ever Forgive Me?,2018,https://boxd.it/e7x4,
