
Date,Name,Tags,URL,Description
2018-07-19,Top 10 Highest Rated for first half of 2018,"highest rated, top 10, 2018, halfway, top",https://boxd.it/1U5I0,

Position,Name,Year,URL,Description
1,Paddington 2,2017,https://boxd.it/bCF8,
2,First Reformed,2017,https://boxd.it/go9C,
3,Hereditary,2018,https://boxd.it/hNVe,
4,Avengers: Infinity War,2018,https://boxd.it/9vEe,
5,Incredibles 2,2018,https://boxd.it/7IPg,
6,Isle of Dogs,2018,https://boxd.it/dZrW,
7,"Love, Simon",2018,https://boxd.it/g02s,
8,The Tale,2018,https://boxd.it/cOkI,
9,The Rider,2017,https://boxd.it/gazw,
10,Black Panther,2018,https://boxd.it/8MHs,
